sentiment,content
0,stormb part surrey either feel quite bite nippy must say afternoon
0,biggabx yes fair lol
1,xo_nessa hiyaaa hannah ask want come girls aloud wil see skank money somwhere need
1,nice day look like go rain get excite take photos get home
1,camp rock meltrev amp daddy yay
1,rest earlier good health say good nite
0,bed stomach ache
1,aceconcierge glad get safe amp saw daughter enjoy time
1,dhughesy safer say cube sphere roll buddy awesome time esp one
0,tire hours work tomorrow
0,jelz want house
1,kidcatastrophe cool hear guy believe cherry hill weeks ago miss come back
0,spencerkeasey yeah suck work nano take music sad
1,twtboxdj thank
0,rubyredsocks yup day older
1,smfibus feel able get anything want long quot green quot
0,tommcfly sweet englands become lamer lamer since guy leave
1,bara boob closet adventure aggghhhh enough muak mcm baby gary sudah
1,listen nin work break almost good show rock extra hard sarfabarfa
1,affascinare hehee yea suppose sound mean hahhaa
0,leod_uk argh twitter didnt post reply tweet age aint much enjoy sun
0,get thinkin weird dog
0,thewbdotcom sadly view site due region restrictions
1,excite see samantha amp denise
0,xmylifesastoryx rob get lucky game beat
0,aianna nandiaramos sadly colleagues work party
1,paris till friday
0,charlies roastbeef mostaza manejamos wtf
1,new day new home happy mom day
1,mafeinberg least large vocabulary benefit writer hope well sister
0,write fuck get less ideas every day every day
0,yumifujii miss back give lesleyboudy regard
0,bah coworker run work late bag smack knee really hurt
0,miss vlogcandy
0,also really miss sami think would throw one
1,take dog leash park today overheat run lay mud puddle splash around amuse
0,adotevans bad day
1,whiteangle hold japanese people make origami animals darcy great time amaze place
1,nethra one funny msg time actual link today receive message
1,certainly spring vail rain snow mother nature know mountain close ski season
1,ahh juz get new rapidshare account last till oct download limit daily
1,mahnameisjerik thank
0,bore work
1,bookaliciouspam hey welcome lol muggy worst part summer say
0,ankurb english screw overall percentage xii probably adm test shit happen
0,already office people melt fight air con fan help find budget
0,think computer sick
0,iamlittleboots record eqpmnts full day mind go blank outfit still arrive eitha
1,oowweee china club wuz poppin lipstic pump full effect
1,amost
1,drink leave shop medium light coffee frappuccino nom nom nom
1,hunabku swine flu victims unite
1,time snuggle bed electric blankie
1,manbag awww love charlies enjoy lucky food lol
0,quot think break heart try keep together fall apart quot
1,moooooorning
1,live life
0,jonathanrknight go soon hop hear late nite humor
0,davidaldrich_wx look like ohio tornado hit
0,inlovewitharmy timeeee mom say something daw tomorrow never compelte
1,currently munch baby carrots nom nom nom nom
1,dance gavin dance attack attack skylit drive tonight exciteddddd
0,school today dont get see mat millsy
0,freak tire like body refuse move
1,michael cera new movie
0,anyone else bad friday fun day today
1,brazilianlinda whoop totally read wrong ahem yes participate day may madness ebook
0,go miss reemer couple months tour
1,build radio studio go podcast foundation call insight foundation
0,make work get feelin blurgh
0,really sad nephew keep busy sort items bwm
1,drlebron welcome minnesoooooooota free time trip catch win cliquot club though close
1,datadirt hahah okay thank short explanation
1,usual two family party today happy birthday lily
0,siblings leave alone bore
0,hardrockchick super catch cold plane far forward line like extra sleep dearly need
0,asexynyfemale make sure well
1,drink hot chocolate yummy
0,still office sun shin
0,riley alphabet fashion show today forget camera cute
0,glamorousamanda wish could pole get space maybe throw furniture get pole
0,boys sit photos touch handshakes allow asylm
1,jeffpulver book sign manchester nice people enjoy week
0,didnt leave voicemail inlove
1,thelovelyj lmao back queen
1,girlfromthemoon yay moment today yay hope
1,night dance party fun time amp awkward situations highlight drive nims annie listen satellite windows downnnn
1,holly lol go easy use
1,another amaze day ever since get twitter great days
0,plan transform bedroom today random
0,screw sit
0,anant unfair good rock show happen lore pune
1,pink wait see december switzerland third rendez vous great show amaze enjoy
0,agesthegreat ugh amp didnt hit lol doin
0,sleep wake ice coffee laze amp go late lunch sweet little lay back saturday
1,love sunshine happiness bring
0,datdoodrace thts kinda young boo
0,millys yummy asian food haha listen let sad song
0,lose hat
1,fixxatedstar aww thank soulmate haha
0,donttreeriddle noes melt ice cream want
0,kelly_straycat sorry like people like feel well tummy
0,fell stairs dance sword fell bum hurt
0,gonna miss gurl shes honeymoon
1,vinylvickxen kno doooo yall partyin
1,wcharlie register first thing wake tomorrow look forward back forum
0,hate car place
0,flyaarmy aduvall flyingphotog foxwhisperer brief interruption brb goodnight catch later gotta something
1,rove look forward show tonight wait mate dhughsey
0,thank google adsense payment aussie dollar strong
1,madinafire buy copy today excite need learn friday good luck sheffield
0,want part windows clubhouse space blog random place share windows stuff
1,hayfa welcome
1,get miss hawaii already dang
1,haiszt office nothing tweet haha fun
1,club party ive spend friday saturday night workin music quit content
0,simple greet unexpected people actually lighten mood ever happen
1,good morning fabulous morning
1,roxy right palmade stuff pretty cool
1,happy star war day may fourth
1,mkasper thank
1,bye twitter amp world san francisco airport ready board air china sure internet access
0,way early today work later
1,btw concert freak awesome
1,thing really demand lot time anyways gotta get breakfast watch naruto latest episode
0,iamdiddy boyfriend years break months ago engage weeks sad embarrass hug
1,call wierd jus luv rainy days make feel warm amp cozy inside lol
0,waaaaaaaa kick bank get monday omg chilito
0,young love come end
1,surprise party today party tomorrow funfunfun need finish bug project o_o
0,back home moment speak aunt telephone darius neighting backround miss little horse
1,under_control babyy sorry gots excite haha
1,yahoo volleyball hike eat fish eye witness sleep beach jump rock amp hang jurassic park film
1,go world education fair today whole different kind circus
1,whatsyourcrime reply happy mother day indeed
1,moco love lamp sydney australia
1,nizhonipetphoto wannna wanna anywhere jersey
0,saw amaze heeels big
1,plant flovers school garden old mucky great fun
1,abbeyemm haha like
1,happy star war day
1,bed happy mother day great one
1,sure let moms know fabulous think almost mother day
0,almost fell asleep hair dryer tire feel like go puke
0,ohh tooth hurt ohh sad hurt
0,jessicaca yeah know dealin yrs
1,wordydirts thank first lol
1,lclaurenconrad wait see tonite hilarious
0,try deny begin miss every single day apart need sprite haha
1,colbertobsessed lucky mom pay everything take shop
0,joewitless nightmares huggles
0,oops forget barbecue work today need pack lunch
1,allo twitter today
0,well yet thing leave huaaahhhhh jupaa resaaaa awas kaliaaannn
0,hot please short stakc competition
0,listen new demo song go fantastic
0,miss baltigirl go whoolllleeee weekend boo hoo
0,evaluate people dont like part job
1,home tonight fun thank
1,elengrey yay lucky
0,get ass kick tripoly lol get bad card suck
1,warwick castle amaze devon week internet update
1,friday yay bonus drive wales tonight athough miss kitten cuddle go ride
1,check email get follower withb name live welcome board alrer ego changa
0,izzyj_is_here hun sorry everything last thing deserve unhappy home
1,hellolizzi hahah thats
1,detrick hey glad friday happy eat bad apple
0,leeye yep try beat cold winter morning swim always refresh good start day
0,kerlikoiv familiar sorry feel way
1,good morning hop throw back coffee like right
1,peoplebrowsr nice new profile picture glad see friends
1,xojennypennyxo like
0,nkeathley try join chat site would let sign
0,favorite curl iron break
0,mikeyunderwood rice crusty bread chili aawww
0,miss already
1,good night sleeep good mornining
1,garrettmurray want keep go end ever
0,didnt get hug today
1,ubernostrum really ought pay attention phone tweet sure moives better
1,come join fun first pitch legends game may
0,twitter fail life sometimes well
0,hungry eat anything right tongue hurt bad
1,wildcurl well still wait one shoot
1,bsaeed nice meet tonight amp thank
0,finally find new flat
0,spend weekend work even sound fun
1,good morning
1,tam look page realise radio show get play call want love track
1,wish warp tour come london canada
1,work ina good mood
1,need break need kitkat haha
0,sick today
1,sashagrey since read twilight series watch underworld today gotta say perfect pic day
1,sunny day brights day
0,marisatangorra handwrite isnt everyone make fun sit myseld lrc
1,hahahahaha rember rip william picture one claires mags beat zoe
1,new supernatural tonight
1,morning everyone
0,sister stupid party amp amp wanna hang friends hilly win txt back
0,feelin really awful mono sux much omg listen music
0,ringorang today wrong answer row brain work today
0,ohitsbigron dang disappoint
0,change hairstyle good suppose think wealthed much money hate hairdresser
0,beautiful day work leave get sun though
1,lauratheexpat bite little britain
0,stupid shop bag leave red mark arm
0,well last fabs go
0,seriously heartbroken
0,rain rain away cancel pool plan tragic
1,finish giraffe get sleep super excite tomorrow
0,wreck get real sore fault insurance plan wed tonight
1,epicwinmaster thats great
0,feel like crap today hopefully nice relax swim trick
0,itsonlytuesday would work today
0,smell pancakes maybe toast something delicious one place cook
0,sum plz cheer
0,gengenw know make sad lol
0,miss britains get talent gutted
0,ooh hayfever strike think go avoid year nooo remedy anyone
0,well twitts wait response dawnrichard party good time maybe day
1,proud trekkie new star trek movie ruuullzzz
1,lapix thank ennio
1,finally men origins wolverine arrive time play game like mad man time review patrick
0,chicago pretty much sell tshirts
0,get work late lame busy day
0,deevazquez lol offer case guiness one buy two stay let start bid war
1,mile run meter swim things look better better lay bike today
0,soo sick hate life
1,theshoctor pezhore visuals vls victory need reinstall damn apps
1,lemurtoes pretty good actually lame episodes otherwise good give try
0,sorry delay publish weeks show technical difficulties encode asap may saturday
0,strabismus try ignore notice new love sonic drink cherry limeade mmm
1,good morning everyone
0,wake ungodly hours work start get old least coffee good
0,think shop solve world problems leave atlanta tomorrow
1,watch loudquietloud documentary ever awesome pixies realise joey santiago david lovering twitterers fantastic
0,head home sea world close early
1,tayler_nicole wow lucky happy birthday
0,simplykia iight gonna miss tonight
1,joejonas fan know
0,peep come chi twn today weekend hang dont time always workin
0,tree line avenue begin fade view drown past regret tea cigarettes cant seem forget come along
1,back home great day
1,watch shark boy lava girl disney channel hang sarah jane micah amp rachel
1,taufiqz watch like
0,amaze hollyoaks poor warren lmao
0,mssbxny artery tomorrow hagen daz
0,avas_writer aww one
1,rachyzilla still infamous liverpool store manager help set say awesome
0,lose friends didnt anything
0,wish lay sand listen wave crash shore
1,lovely degrees right amaze enjoy melt vegas
1,watchmerise youre welcome deserve
1,mom say get new phone immediately mobile pay
1,yay back home
1,recover mexican fiesta bite much good time
1,think time bed good night twitts
0,wanna get dress adult today
0,dammit cant watch stadium music
1,steve_berra happy bday stevie bee want followers get little tweety may baby best
0,wish go tonight wait tomorrow
0,get gym energy
0,karshka hey win come town weekend day next friday
1,janevans lol love macbook imac decide love quot imac trump quot macbook
0,wesleyadamquinn miss chicago show boo
1,may unintentionally snub someone due ineptness shyness feel badly
0,feel like fish big glass car dealership look world people walk fun sun stick
1,happy crepe
1,really want see cash cash
1,jonas rock tonight go bed write lil bite night bless
1,okay really go stop make laugh like
1,petiteantoin cool thank
0,oliviamunn pretty lame babe
1,mrcartersnurse congratulations mom tomorrow buenas noches
1,nathanschultze haha awesome good job
1,huge test parent house food good stick one help second feel good
0,think ever play fun suck market promotion
0,make cry wish stronger
0,still awake smh suck
1,live migrate vmware vsp exams magento config quiet weekend party central
1,good morning tweeties today rest richmond ready hit beach
1,glorious week best holiday ever think want home morning
0,catch last bite later jools last series sob cry
1,go beautiful day
0,cry hard
1,eat dillybar yuuum
0,get bore sit hotel room entire day
0,dad loud get creep cuz dodgy neighbourhood someone bush
0,mitchelmusso wont work
0,sad leave beautiful apartment
1,omg buy dvd yeahness another good movie also thank movie buddies
0,really sleepy want bed upstairs mess know gonna clean nooooo
0,epiphanygirl upset get ticket time fav artists one venue
1,head feel sooooooooooo much better
1,thank much follow keep date much possible makeup line plus new collections
1,whos go see reemer wednesdayy kirsty go well exit
1,amber_benson love continue delight amber great job back video adambusch kudos
1,limo rid city dinner cruise harbour makeovers amp foot back massage yay hope fellas get
0,gonna brothers show still feel like poo
0,miss meldibiase days pass quick enough
1,donnyosmond excite book ticket vegas live believe price show ticket
1,nevermind beyonce twitter haha
1,happy_pills punch bag ive never touch cover brother sweat use want hehe
1,camilleprats happy mother day
1,get new belt sheriff star
1,add minutes morning sleep cut useless today show feel nice
1,lea_ada_franco work woo hoo alas unable obtain elita daughter
1,alright rawknroll net live radio org next hours vivid spring summer music rawk enjoy
1,jtsui wish could sit thats super busy day sunday perhaps play football dolores park youre welcome come hang
1,ralfrottmann thank see back smile
1,marcooth great obviously check twitter often know important stuff thats go
0,aplusk awww waz uuuup seriously glad fun bad invite get lose mail lol peace
0,fyi ruin hollywood close last friday close night
1,happy juddday everybody
0,evonmichelle mum lol get anything yet sad sad haha
1,jaimedr thank recommendation
0,find swing set sale block home super cheap want kid one answer phone list
0,proctorsarm least posada good
1,aww glad obscenely late early hour find forest kline engage
0,set chuck bass new york palace hotel bad film today
0,majayy miss
0,richardmadeley final msg review boardgame bookchaseï telly even get nice letter
0,mow hate lawn
1,marano aww thank babe plan tomorrow
0,the_sandman_ grave_wounds hursty samvoaden miss guy much
0,pool orlando get new kick go seaworld tommrow miss best friend
1,mandypandy thank hon project bra start today
0,amypredsfan oops late already pop bridge since miss blair amp
1,okayray thanx bday wish ray
1,brrridgett already know happen supernatural
1,kelseyj_xo hey chick alryt dads tmoro sud sumin aen like last week neva dun oot week lol miss bye hun xxx
0,life suck fun
0,spend minutes book store buy one book
1,emilygrace_bhb go concert remember derek mark host miss see bhb grove
1,reckon could live yogurt week good selection flavor
0,gym day hop enjoy last friday twenties
1,happy mother day
0,feliciaodg screen dark click hang whoever talk
0,aaaaaw want live usa
1,jbrigante haha drink cheat day
1,arlastouch nothing yet still look let sure lunch next week
1,happy juddday
0,didnt know starwars day
1,themadmodel soooo happy back
0,nobilis feel pain mine way
1,snl justin timberlake
0,marnixtfn ahahahah hello welcome twitter get hang already
1,telesilla indeed thank share sleep giggle night
0,long sunbathe burn
0,awake wish feel like head may explode go try back sleep
0,miss use
1,tommcfly ahhhhhhh birthday cant belive find see yous tonight best present everr
0,wojo hitz marchingstars winkiedinkie erockett feel leave alone lol
1,lexymez thank much alex best wish day
1,mariaandros gun roses baby yay hopin would blip
1,belt next normal fabulous even choice
0,laurenlovesjb grandma probably phone get aim
1,get turn pre final project computer animation class final due tues class weeks
0,lynnftw know exactly say cool tap better
1,get puppyyy name think romeo cute
1,look like sun make comeback midwest happy monday
1,scalzi happy frickin birthday try bitter share day lovely wife mother
0,miss billiesyadrie sorry able call already sleep love great trip tomorrow send
1,garden make picture weed sweep weather nice see ter people
0,shanesakata shane link seem work
1,shoe club cool fun poppin except ppl tryna dance wit
0,urge shop hmmm get money
0,ready weekend sad office tomorrow morning
1,lol moms present cost dollars
0,macmuso hobart sorry
0,please please anyone
1,yay wyattt totally amaze happy yay
1,yeah radio play earth wind fire
0,traceeellisross miss girlfriends season
0,honeyfaery that_kat beg mum get attic wont let waaa yes spoil hehe
0,die whatta letdown
0,koifusionpdx another day find end try another cart remember name sigh
1,simonrim cheese counter thank
1,myapplestuff cute uniteddogs com poppy
1,right adrianmw
1,baggers haha yeah
0,miss tapulous give away ttc code
0,renegadepr cool look forward san francisco really nice make napa though maybe next time
1,happy morning everyone
0,wish parent put chinese school younger much easier get job
0,shellykramer fever past hours see unshaven puffy face look pathetic
1,roar_fear_me well thank much spend lot time behind focus determination
0,thank gourmetcook cold shower help
0,redmummy glorious weather poor
0,adambmusic feel sooo bad
0,myersandchang
0,cold
1,laydmaxix aww keep send
0,stargirlreads cantttt grandparents
0,first day work excite lay place everything well job
1,deejai nice meet toooo good know another one followers actually speak
1,work thank ppl get freakin starbucks peace ppls
0,try figure whole quot twitter quot thing thank scott amp allison concentrate work
1,sorry sanderschenk misspell twice already notgiving run
0,everyone stick bore ill
0,second year
0,teemwilliams michelleeeeeeeeeeeemybelleeeeeeeeeeeeeeeeee snif snif
1,average per hour work today gotta love holiday
0,want transfer naini trip picture comp upload thm web dnt usb snt via multimedia pic expnsiv
0,back reality boo
1,god early hayley still asleep today party day get stuff ready
0,robineccles indeed get song however unable listen
1,amedawg haha great yeah zachary quinto spock really awesome indeed
0,bellabellini yeah know fuck annoy good promo lose contact business
1,michellecorydon thank
1,back best party ever
0,glamvoy yes think unless change send happy mother day text never respond back
0,elf_princess hehehe barry killer need pic
0,ozzblair hug bad day
0,kixsal star trek imax huge screen still worth watch
0,feel lonely
1,week one day
1,first day new job buy new clothe already employee discount
0,sparkin sorry miss farm today would like photos today
1,phone keep beep thank alan speeeeeen
0,come home sister spend night
0,impala_guy past since ½ve get appartment car itï difficult save money
0,upload pcd onto itunes use certian events cause sadly
1,eat chat computer really bore think go tea haha listning music wooho
1,b_luca lol glad see one
1,pyroezra know wish would wanna cuddle sleeep world coke
0,go miss miss suhana
0,lancearmstrong chance see race germany unfortunately hardly amp news coverage cycle anymore
1,mollieandme hello sooo awesome dont ever stop haha make fall chair laugh
0,kateisbored feel way guess matter always memes
1,list park closure calaveras big tree head weekend glad visit late
1,thx tip figure one
1,furlongthedog welcome twitter hop long saw light join
1,vulcansmuse lorirusso still wait beer moldovan least happy come
0,good day havent good week forreal
0,melissajeanine sorry zach
1,goooooood morning
0,cant hear anything outta leave ear
1,sarahjpin good work manage turn studio envy productivity
1,oceancity thank blast
1,try sweet lil ipod totally nerding totally
0,crypticirnangel thats bummer get one yet wait year grrrrrrrrrrrrrrr
0,outside tak nic
1,see star trek guy spoil see
1,ellyaway know june gonna good go even come
1,dream last night sing first avid dream croon away
1,aidadoll think gangsterrr ass even fit unit amp know
1,karaoke small town bar wonderful time
1,fun webcamming caroooo
0,need retail therapy bad ahhh gimme money geebus
1,get home dinner really really full mom say dad buy sony holyyyyyyy
1,ready milan see even
1,read pretty awesome web comics today nothing really good woot today
0,okay want watch shelby anyway
0,poynterjones join jealousy
1,orange pineapple banana smoothie long hard day heaven
0,retro prom wish dance gonna miss great dance nite still blast amp drink
1,peacediva nice plan day happy mother day happen mother
0,panda express long miss
1,didnt krystal spend night last night dnt think post laugh lot squirrel amp house new inside joke
1,watch yes man bahaha movie mess
0,tcwmatt well get back lot picture
1,head downtown drink dance
0,zaidah listen music work probably could try start hunt new job monday
1,sun shin drive lesson
0,felt way intense tonight hope keep upset hang fascinate pearl
0,friday night never fun work saturday morning
1,allicandy test hey gotta add someone follow
0,today start well
1,omgoodness finally back dinner fam bam
0,run past couple days due bad knee still guitar hero metallica arrive keep amuse time rock
0,go dirt track race aaron really good hair day wish could wear makeup though
1,finally home night dinner drink friends go sleep hop bed spin much
1,marcftsk haha thank clarify think mean bello wish could cousins live
1,goodbye sex city let hurry give cuz paper work lailashah summer
1,katie_noonan think ill well wanna one loveyou
1,robdyrdek husband wear shirt time think send way
0,find quot friend quot isnt actually hey shit happen
1,go one smirker cheer dave aka jak aka best chest ever
1,dream weekend awake
1,wellington monet exhibition casually bump wayne brady hotel lobby mega excite
0,brento maybe first mistake everyone cool sqlfool brown nose moment
1,bore cold tire lethargic feel man great holiday monday
1,happy mother day mother world especially tweeter moms
1,gosh close finish song wait
1,mcflyyerr yeah trueee wait till tour dvd come tour epic backstage material hilarious
1,celebrate mother day best lamb roast lunch follow box cadbury share around table wonderful day
1,friday gotta work tommorow tho
1,kiitzyy think hahah geez lady hours ago bed lack sleep bad skin
1,wish could choose band play trash june hmmm
0,sirhova clownin since get flood htown april get repair think
0,sonicsalamander sorry bout migraine mention really like cissbury pic last week
0,jazzy miss neice wait see bad grow ass lol
0,willynorthpole wish
1,elephatt lol thank nice meet aswell look forward tweetversation
0,get new high speed machine stuff latest technology development office crash
1,celebritystatus wifeyyyyyy likey siky
0,wookei never accept psn friend request
0,mileycyrus sorryyy milerz vote would love vote work sad frustraded
0,sadness top horde guild like disband
1,want catch happy hour sonic get strawberry lemonade slush ameshaye put dont car super
0,mattshiloh unfortunately fix work well lovin peoplebrowsr anyways
1,explore home back vacation nice home
0,last day maui
0,leathermartini awwwh sorry glad closer though
0,jobo tire get work
0,bore kinda lonely parent go lake friend bring know bore
1,jessmcflyxxx gdgd well better get ready work haha fun tonight
0,redsoxgirl sadly first rodeo dear suspect learn lesson
1,rockonrebelchld happy mother day well good one
0,piece photo quilt boeing employees hang huntington beach sadly many people quilt pics lay
1,typezero hehe come back friends get twitter respite huh
1,order cuuutest invitations new nieceï christen arrive back sorry wont make
0,could live mediterranean food rest life miss home
1,nice weather look like go rain delhi
1,dopenhagen drink
0,honorsociety like butttt go august concert hurt feelers
1,spiderdj thank yes yes hooray
1,time revision listen direngrey albums non stop day
1,well good job two cousins graduate good luck life never wear pajama pant school
1,kandeezie would love see
1,secretvampire nice see twitter
0,wasnt workin hours gettin ratarsed point couldnt even see let alone stand shit feel
0,think life dream seem appeal give jealous every band artist live
1,go shop best friend today yaay go much fun need get alot new clothe
1,amaze night girls
1,tommcfly wish could paulo show fortunately go brasilia one haha
1,msstacy well thank think ever get scratch one well right
0,kiwilucy ahhh know win entire thing try avoid things never work
0,valerierenee bad day
0,find one coworkers actually like leave
1,darrylep busy yes always hope great time travel welcome back
1,maaaan way nice outside work
1,rescapism hahahah tell tomorrow
0,fudgecrumpet saw deforestation surprise bad back mrsfudgecrumpet moan back lol
1,hang bff jasminewho today amandababby old friend prayers hope experience help
1,like fake tan orange colour
1,gretchenrubin love body tell much sleep need always good mindful mealtimes
0,write yearbooks make wanna cry
0,regret go movie audition today seem like neighbor gonna get call back
1,acousticalt listen
1,really direction time ugh gotta take authority time day say hello stranger beblessed
1,taylorswift woooooooooo come nottingham point lovelovelove
0,sometimes wish things could back way begin last summer
1,wish good night everybody
0,mitchelmusso wish could call live cash call
0,tracy berwick break achy breaky heart split ways hallways
1,werewolfseth well must say lucky guess mean chillin concert huh
0,get cofo late close today close monday back meet buyer tonight show home
1,panicitsleslie aww still awesome fun though assume
1,fishieee haha gross time come back tell yum vancouver malay spot soon indian
0,dont wanna work tomorrow get pay
0,another week start
1,happy bank holiday
1,mrstreme thank much back tour soon two new book pipeline
1,happy star war dayyyy hbd uncle lee
0,drain iphone battery half day without make single call suck months old huge fail apple part
1,downtown fun tonight walk back car rediculous lol
1,orli snapily famous houston take look
1,wlcome johiw proud girlfriend
0,manchester wayyyyy busy warm today also
0,annoy miss mitch benn lemon tree damn
0,rockin river tonight
1,good morning everyone
1,nice win dodgers giants
0,feltbeats right kick
1,jennywoo bbq chicken pizza last night although deep dish glad hear fun
1,shanellelee oooooo glad hear incredible though still bookmarked try sometime
1,get brainbone daily question right
0,sit outside cold ocean glass wine
0,desperate need tweet cheer
1,punisher get twitter yayy xxx
0,cassieebee aint list hurt
0,many farewell party sad see people leave
0,iaquarian heart mela much cept last time go book saturday instead friday fee
1,hoisin duck pizza salt pepper pizza gelato dinner edmund jade good time
1,jasonbradbury addict sociable
0,really want job
1,mumphlett good girl nevah tell hahahahaha hope good weekend
1,lisaxjbx goodnight trend topics lol
1,live live jayem click
0,person stand world full spineless cunts make sad
0,rorzshach wish good tbh
1,irish yeah good startle
1,simoncurtis haha hotter justin timberlake
1,congratulations manny quot pacman quot pacquiao make every filipino proud filipino
1,get ready school second maths test today also last day year next week officially year
1,reminder anyone ultimatepetshow thepet net award pet friendly businesses award
0,ugh soooo much work today try make train game look like hour sunday office
1,feelin bite dangerous watch tha vids
0,omg keep lose followers sad want one day thats goal
0,kimmycakezz yes pretty smile also win eat chipotle
0,poojashetye break via second phone call
0,spacerbunny suck thank god laptop
0,really miss photofiltre photoscape gimp damn confuse
1,sandsp thank followfriday suggestion
0,laurenyant mean spend time alone friends family sad
1,geramie yeah think ahaha
0,borred everyone doingn check link profile
0,kkkrista cuddle afterwards like cuddle turn trick van buren
0,darn allergies like time year never use problem either
0,dumb keep lose followers
0,hate paint nail cant suck thumb taste bad
1,sageeb say nicest things
0,feel like shit
1,rjramos cool
0,headache
